category_code,brand01
electronics.smartphone,samsung
appliances.kitchen.washer,midea
appliances.kitchen.blender,polaris
appliances.environment.vacuum,samsung
,apple
computers.notebook,ipower
appliances.kitchen.microwave,ava
appliances.environment.air_heater,polaris
,moulinex
,babyliss
electronics.smartphone,samsung
electronics.audio.microphone,
appliances.kitchen.microwave,ava
,cremesso
appliances.kitchen.hood,bosch
appliances.kitchen.hood,bosch
computers.notebook,hp
construction.tools.screw,sbs
electronics.smartphone,oppo
computers.peripherals.mouse,delux
computers.peripherals.mouse,
computers.notebook,lenovo
electronics.audio.headphone,logitech
electronics.audio.headphone,logitech
electronics.audio.headphone,apple
computers.peripherals.mouse,trust
computers.network.router,asus
,sony
electronics.video.tv,lg
,ritmix
computers.peripherals.printer,canon
electronics.tablet,apple
electronics.smartphone,xiaomi
electronics.audio.headphone,apple
electronics.audio.headphone,xiaomi
appliances.kitchen.mixer,maxwell
appliances.kitchen.blender,maxwell
appliances.kitchen.blender,moulinex
appliances.kitchen.blender,philips
,philips
appliances.personal.scales,ava
appliances.personal.scales,ava
computers.notebook,lenovo
construction.tools.screw,apple
appliances.personal.massager,gezatone
appliances.environment.air_conditioner,beko
electronics.audio.headphone,samsung
,apollo
furniture.kitchen.chair,rondell
furniture.kitchen.table,tefal
appliances.personal.scales,none
computers.peripherals.printer,kyocera
,apple
electronics.audio.headphone,xiaomi
,philips
computers.peripherals.printer,hp
construction.tools.screw,ava
,transcend
,samsung
,neo
,lumax
,advantek
appliances.kitchen.kettle,bosch
electronics.telephone,nokia
appliances.environment.water_heater,ariston
computers.peripherals.mouse,
computers.peripherals.keyboard,delux
,transcend
electronics.audio.microphone,
computers.peripherals.mouse,logitech
furniture.living_room.shelving,none
appliances.environment.water_heater,ariston
appliances.ironing_board,perilla
,perilla
electronics.smartphone,huawei
computers.peripherals.mouse,bloody
computers.peripherals.mouse,hyperx
electronics.tablet,prestigio
,sony
computers.notebook,asus
electronics.smartphone,apple
electronics.audio.headphone,plantronics
computers.peripherals.mouse,bloody
appliances.kitchen.microwave,ava
computers.network.router,altel
appliances.kitchen.microwave,samsung
,lihom
appliances.kitchen.refrigerators,caso
,ecocool
electronics.clocks,samsung
furniture.living_room.chair,dxracer
,transcend
,sony
electronics.smartphone,samsung
appliances.kitchen.microwave,lg
appliances.kitchen.washer,samsung
appliances.kitchen.dishwasher,electrolux
appliances.kitchen.oven,electrolux
electronics.tablet,wacom
appliances.kitchen.grill,delonghi
,ava
construction.tools.screw,apple
electronics.video.tv,lg
electronics.audio.headphone,razer
,akvafor
appliances.kitchen.washer,samsung
electronics.video.tv,samsung
appliances.kitchen.oven,gorenje
appliances.kitchen.hood,gorenje
electronics.tablet,samsung
computers.components.hdd,portcase
electronics.audio.headphone,bloody
,neo
electronics.smartphone,samsung
appliances.kitchen.refrigerators,lg
appliances.personal.scales,scarlett
electronics.smartphone,samsung
,philips
computers.components.hdd,portcase
computers.components.hdd,portcase
computers.components.hdd,portcase
computers.components.hdd,portcase
computers.components.hdd,portcase
computers.components.hdd,portcase
stationery.cartrige,epson
computers.peripherals.keyboard,
electronics.smartphone,samsung
appliances.kitchen.washer,lg
appliances.environment.fan,polaris
furniture.kitchen.chair,ava
electronics.smartphone,samsung
medicine.tools.tonometer,panasonic
computers.network.router,tp-link
,borasco
computers.components.hdd,portcase
computers.components.hdd,portcase
computers.components.hdd,portcase
computers.components.hdd,sumdex
computers.components.hdd,portcase
computers.components.hdd,portcase
electronics.smartphone,huawei
appliances.kitchen.refrigerators,atlant
furniture.kitchen.table,rondell
electronics.smartphone,samsung
computers.peripherals.mouse,delux
,jbl
appliances.sewing_machine,jaguar
computers.peripherals.mouse,delux
appliances.environment.vacuum,samsung
,
,rowenta
appliances.personal.hair_cutter,polaris
computers.components.hdd,toshiba
appliances.personal.hair_cutter,babyliss
appliances.kitchen.mixer,philips
computers.notebook,powerplant
electronics.audio.headphone,sony
electronics.audio.headphone,bloody
appliances.personal.hair_cutter,philips
appliances.personal.massager,gezatone
furniture.living_room.shelving,inhouse
furniture.living_room.shelving,tefal
,ava
,vitek
furniture.living_room.chair,dxracer
,filtero
,filtero
appliances.personal.scales,imetec
computers.desktop,philips
,gtec
electronics.telephone,nokia
,
,tefal
,inhouse
appliances.environment.fan,ava
appliances.environment.fan,ava
electronics.audio.headphone,panasonic
electronics.smartphone,apple
electronics.audio.headphone,plantronics
computers.components.memory,transcend
,dji
appliances.personal.scales,vitek
,redmond
computers.peripherals.mouse,
appliances.kitchen.microwave,ava
electronics.smartphone,samsung
appliances.environment.water_heater,midea
electronics.audio.headphone,philips
appliances.kitchen.kettle,
stationery.paper,deluxe
electronics.smartphone,samsung
appliances.personal.scales,scarlett
computers.peripherals.printer,hp
,philips
electronics.tablet,samsung
,ava
electronics.video.tv,sony
computers.peripherals.mouse,delux
computers.peripherals.mouse,delux
appliances.kitchen.mixer,bosch
appliances.personal.scales,ava
appliances.environment.vacuum,samsung
computers.peripherals.mouse,bloody
computers.peripherals.mouse,
appliances.environment.fan,ava
furniture.kitchen.table,
appliances.environment.fan,ava
,iqos
appliances.kitchen.grill,tefal
electronics.audio.headphone,bloody
,apple
appliances.kitchen.hood,bosch
computers.components.cooler,moshi
,samsung
appliances.kitchen.coffee_machine,polaris
appliances.iron,tefal
appliances.kitchen.mixer,braun
electronics.audio.headphone,panasonic
furniture.kitchen.table,tefal
furniture.living_room.cabinet,tefal
appliances.kitchen.toster,philips
electronics.video.tv,sony
electronics.smartphone,huawei
electronics.audio.headphone,hyperx
appliances.environment.air_heater,ava
furniture.kitchen.table,tefal
furniture.kitchen.chair,peterhof
,rowenta
electronics.smartphone,samsung
,hoco
electronics.video.tv,lg
computers.components.videocards,gigabyte
computers.components.memory,kingston
electronics.video.tv,lg
medicine.tools.tonometer,philips
electronics.audio.headphone,samsung
,yoobao
,yoobao
appliances.kitchen.blender,braun
stationery.battery,varta
computers.peripherals.mouse,logitech
electronics.smartphone,huawei
computers.network.router,tp-link
electronics.smartphone,samsung
appliances.kitchen.microwave,beko
appliances.environment.vacuum,samsung
,sencor
appliances.personal.scales,ava
,beurer
electronics.telephone,nokia
electronics.smartphone,samsung
,sbs
electronics.video.tv,samsung
electronics.smartphone,samsung
electronics.smartphone,apple
stationery.cartrige,hp
appliances.personal.scales,beurer
furniture.kitchen.table,tefal
furniture.kitchen.chair,peterhof
appliances.kitchen.mixer,polaris
appliances.environment.air_conditioner,beko
furniture.living_room.chair,dxracer
,
appliances.kitchen.washer,beko
,
,
,a-case
electronics.audio.headphone,apple
electronics.smartphone,samsung
appliances.personal.hair_cutter,philips
,aksion
appliances.kitchen.kettle,philips
appliances.kitchen.refrigerators,
,ava
appliances.kitchen.grill,tefal
appliances.kitchen.blender,neo
electronics.smartphone,samsung
,none
electronics.audio.headphone,jbl
electronics.tablet,samsung
appliances.environment.vacuum,samsung
medicine.tools.tonometer,philips
appliances.personal.scales,beurer
computers.network.router,tp-link
appliances.personal.hair_cutter,remington
appliances.iron,maxwell
computers.peripherals.mouse,logitech
electronics.smartphone,huawei
electronics.audio.headphone,panasonic
furniture.kitchen.table,tvs
appliances.kitchen.mixer,polaris
electronics.smartphone,huawei
appliances.personal.hair_cutter,rowenta
appliances.kitchen.refrigerators,beko
electronics.video.tv,lg
appliances.kitchen.grill,delonghi
computers.peripherals.keyboard,bloody
,akvafor
,akvafor
,akvafor
appliances.environment.vacuum,samsung
computers.desktop,oral-b
,samsung
electronics.tablet,samsung
accessories.bag,
appliances.kitchen.coffee_machine,polaris
computers.peripherals.camera,logitech
electronics.audio.microphone,trust
,samsung
computers.peripherals.printer,canon
,samsung
computers.peripherals.mouse,
,tefal
appliances.personal.hair_cutter,philips
computers.components.cpu,
,ava
computers.notebook,ipower
electronics.smartphone,oppo
appliances.personal.massager,gezatone
,barjher
computers.peripherals.monitor,samsung
,sony
,lego
electronics.smartphone,oppo
computers.network.router,tp-link
computers.network.router,tp-link
computers.network.router,mercusys
appliances.kitchen.microwave,ava
appliances.kitchen.kettle,ava
,
,filtero
furniture.kitchen.table,
appliances.personal.massager,rowenta
appliances.iron,polaris
electronics.audio.headphone,jbl
electronics.smartphone,samsung
appliances.environment.air_heater,ava
stationery.paper,
,deluxe
,neo
electronics.audio.microphone,trust
computers.peripherals.camera,logitech
apparel.glove,sony
appliances.kitchen.blender,moulinex
appliances.environment.vacuum,lg
electronics.audio.headphone,trust
electronics.tablet,huawei
computers.peripherals.mouse,hyperx
,
,sencor
electronics.audio.headphone,delux
appliances.kitchen.washer,beko
computers.network.router,mercusys
electronics.smartphone,samsung
electronics.smartphone,apple
electronics.smartphone,xiaomi
,nika
computers.notebook,asus
,gtec
computers.peripherals.printer,canon
,iqos
,
appliances.kitchen.blender,bosch
appliances.kitchen.coffee_grinder,bosch
stationery.battery,duracell
electronics.smartphone,apple
computers.components.hdd,
