title,brand,categories,manufacturer,department
"FantasyDay Non-stick Cream Horn Molds Stainless Steel, 4.92 inch Large Size Cannoli Tubes Kit Pack of 12 Baking Cones Pastry Roll Horn Croissant Mold - Christmas Anniversary Free Standing Cone Shape",FantasyDay,"[""Home & Kitchen"",""Kitchen & Dining"",""Bakeware"",""Pastry & Baking Molds"",""Brioche Pans""]",FantasyDay,Home & Kitchen
"Covercraft UVS100 Custom Sunscreen | UV11244BL | Compatible with Select BMW 3 Series Models, Blue Metallic",Covercraft,"[""Automotive"",""Interior Accessories"",""Sun Protection"",""Sunshades"",""Windshield Sunshades""]",Covercraft,
Skechers Men's Crossbar Oxford,Skechers,"[""Clothing, Shoes & Jewelry"",""Men"",""Shoes"",""Oxfords""]",Skechers,mens
"Ecko Joggers for Men – Mens Sweatpants with Pockets, Mens Joggers Lounge Pants",Ecko Unltd.,"[""Clothing, Shoes & Jewelry"",""Men"",""Clothing"",""Active"",""Active Pants"",""Sweatpants""]",,mens
"E-Z LOK 400-5 Threaded Inserts for Wood, Installation Kit, Brass, Includes 5/16-18 Knife Thread Inserts (5), Drill, Installation Tool",E-Z LOK,"[""Industrial & Scientific"",""Fasteners"",""Threaded Inserts"",""Helical Threaded Inserts""]",‏  ‎ EZ-Lok,
"Smead Colored Hanging File Folder with Tab, 1/5-Cut Adjustable Tab, Letter Size, Maroon, 25 per Box (64073)",Smead,"[""Office Products"",""Office & School Supplies"",""Filing Products"",""Folders"",""Hanging Folders & Interior Folders""]",‎Smead,
"Rotring 600 Ballpoint Pen, Medium Point, Blue Ink, Green Barrel, Refillable",Rotring,"[""Office Products"",""Office & School Supplies"",""Writing & Correction Supplies"",""Pens & Refills"",""Ballpoint Pens""]",Newell Brands,
Skechers Women's Performance Go Walk Arch Fit-Glee Sneaker,Skechers,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Athletic"",""Walking""]",Skechers,womens
"Bluemoon Homes Sheet Sets for King Size Bed Egyptian Cotton 800 Thread Count Cotton Sheets King Size Set Deep Pocket Upto 16'' - Extra Long-Staple Cotton King Sheets, Sateen Weave, Soft Sheets(Taupe)",Bluemoon Homes,"[""Home & Kitchen"",""Bedding"",""Sheets & Pillowcases"",""Pillowcases""]",Bluemoon Homes,
"Amazon Essentials Women's 5"" Inseam Drawstring Linen Blend Short (Available in Plus Size)",Amazon Essentials,"[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Shorts""]",Amazon Essentials,womens
"Bare Peel 15% Vitamin C Face Serum for Glowing Skin Contains Gotu Kola, Ferulic Acid and Aloe Vera for tightening the pores | SLS & Paraben Free | For All Skin Types (30ML)",Bare peel,"[""Beauty"",""Skin Care"",""Face"",""Creams & Moisturisers"",""Serums""]",Cizy Bio Care,Beauty
"Dunwell Binder with Plastic Sleeves 12-Pocket (2 Pack, Black) - Presentation Book, 8.5 x 11 Portfolio Folder with Clear Sheet Protectors, Displays 24-Page Documents, Certificates, Important Papers",Dunwell,"[""Office Products"",""Office & School Supplies"",""Binders & Binding Systems"",""Binder Accessories"",""Sheet Protectors, Card & Photo Sleeves""]",Dunwell,
"Universal Rear Camera Mounting Bracket,Dash Cam Mirror Cam Backup Camera Mount,Only Rearview Camera Holder,Back Up Camera Bracket,Reverse Camera Mount(4Pack)",Pixelman,"[""Electronics"",""Car & Vehicle Electronics"",""Car Electronics"",""Car Safety & Security"",""Vehicle Backup Cameras""]",Pixelman,
BOSCH GDS18V-221N 18V EC Brushless 1/2 In. Impact Wrench with Friction Ring and Thru-Hole (Bare Tool),BOSCH,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tools"",""Impact Wrenches""]",Bosch,
Landau Scrub Zone Unisex Relaxed Fit 2-Pocket Drawstring Cargo Scrub Pants 85221,Landau,"[""Clothing, Shoes & Jewelry"",""Men"",""Uniforms, Work & Safety"",""Clothing"",""Medical"",""Scrub Bottoms""]",‏  ‎ Landau,‏  ‎ Womens
Tayo Gani Lani Rogi Cito - The Little Bus Tayo Special Wind-Up Set,ICONIX,"[""Toys & Games"",""Toy Figures & Playsets"",""Play Figure Vehicles"",""Buses""]",ICONIX,
adidas Women's Sooraj Sneaker,adidas,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Athletic"",""Running"",""Track & Field & Cross Country""]",adidas,Womens
Blowfish Malibu Women's Play Canvas Sneaker,Blowfish Malibu,"[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Fashion Sneakers""]",Blowfish Malibu,womens
New Balance Men's All Coast 574 V1 Sneaker,New Balance,"[""Clothing, Shoes & Jewelry"",""Men"",""Shoes"",""Fashion Sneakers""]",New Balance,mens
"HOST FREEZE Margarita Cocktail Glasses, Frozen Cup Plastic Margarita Glasses Drinking Set, Cinco de Mayo, Taco Party, Fiesta Party, Grey, Set of 2",Host,"[""Home & Kitchen"",""Kitchen & Dining"",""Dining & Entertaining"",""Glassware & Drinkware"",""Cocktail Drinkware"",""Margarita Glasses""]",Host,Home & Kitchen
adidas unisex-child Racer Tr21,adidas,"[""Clothing, Shoes & Jewelry"",""Girls"",""Shoes"",""Athletic"",""Running""]",adidas,Unisex-child
Timberland PRO Men's Powertrain Sport Alloy Toe Eh-Raptek Synthetic Industrial & Construction Shoe,Timberland PRO,"[""Clothing, Shoes & Jewelry"",""Men"",""Uniforms, Work & Safety"",""Shoes"",""Work & Utility"",""Industrial & Construction Boots""]",Timberland PRO,mens
"ISHARINGTIME Vanity Stool, Desk Stool with Cushion Seat, Piano Bench, Square 18” Vanity Chair, Makeup Vanity Stool Chair for Vanity, Living Room, Bedroom Capacity 300lb (Black) TYS002BK",ISHARINGTIME,"[""Home & Kitchen"",""Furniture"",""Living Room Furniture"",""Ottomans""]","Xianju Tongyi Industry and Trade Co., Ltd.",
